Id,Title,Place,Startime,Endtime
1,Tahajjud-Gebet,Haupthalle,2013-10-11 05:40:00 UTC,2013-10-11 06:15:00 UTC
2,Fajr-Gebet,Haupthalle,2013-10-11 06:30:00 UTC,2013-10-11 06:45:00 UTC
3,Frühstück,Essenszelt,2013-10-11 07:30:00 UTC,2013-10-11 09:30:00 UTC
4,Mittagessen und Vorbereitung auf die Gebete,Essenszelt,2013-10-11 12:00:00 UTC,2013-10-11 13:15:00 UTC
5,Fahnenhissen,Aussen,2013-10-11 13:20:00 UTC,2013-10-11 13:30:00 UTC
6,Namaz-e-Jumma,Haupthalle,2013-10-11 13:30:00 UTC,2013-10-11 14:00:00 UTC
7,Eröffnungszeremonie,Hauptzelle,2013-10-11 14:00:00 UTC,2013-10-11 15:00:00 UTC
8,Mayar-e-Sagheer Wissenswettbewerbe,Atfal Halle,2013-10-11 15:30:00 UTC,2013-10-11 18:15:00 UTC
9,Mayar-e-Kabeer Sportwettbewerbe,Sportfelder,2013-10-11 15:30:00 UTC,2013-10-11 18:15:00 UTC
10,Abendessen,Essenszelt,2013-10-11 18:00:00 UTC,2013-10-11 19:15:00 UTC
11,Maghrib- und Ishaa-Gebet & Talqeen-e-Amal,Haupthalle,2013-10-11 19:15:00 UTC,2013-10-11 19:30:00 UTC
12,Freitagsansprache von Hadhrat Khalifatul Massih V,Haupthalle,2013-10-11 19:30:00 UTC,2013-10-11 20:30:00 UTC
13,Tischtennisturnier Atfal,Atfal Halle,2013-10-11 21:00:00 UTC,2013-10-11 21:30:00 UTC
14,Tahajjud-Gebet,Haupthalle,2013-10-12 05:40:00 UTC,2013-10-12 06:15:00 UTC
15,Fajr-Gebet und Dars-ul-Quran,Haupthalle,2013-10-12 06:30:00 UTC,2013-10-12 07:00:00 UTC
16,Frühstück und Beginn der Anmeldung,Essenszelt,2013-10-12 07:30:00 UTC,2013-10-11 09:00:00 UTC
17,Sportwettbewerbe Mayar-e-Kabeer,Sportfelder,2013-10-12 09:00:00 UTC,2013-10-12 13:30:00 UTC
18,Wissenswettbewerbe Mayar-e-Sagheer,Atfal Halle,2013-10-12 09:00:00 UTC,2013-10-12 12:00:00 UTC
19,Sportwettbewerbe Mayyar-e-Sagheer,Sportfelder,2013-10-12 12:00:00 UTC,2013-10-12 13:30:00 UTC
20,Mittagessen und Vorbereitung auf die Gebete,Haupthalle,2013-10-12 12:30:00 UTC,2013-10-12 13:45:00 UTC
21,Sohar- und Assr-Gebete & Talqeen-e-Amal,Atfal Halle,2013-10-12 13:45:00 UTC,2013-10-12 14:30:00 UTC
22,Sportwettbewerbe Mayyar-e-Sagheer,Sportfelder,2013-10-12 15:00:00 UTC,2013-10-12 18:30:00 UTC
23,Wissenswettbewerbe Mayyar-e-Kabeer,Atfal Halle,2013-10-12 15:00:00 UTC,2013-10-12 19:00:00 UTC
24,Abendessen,Essenszelt,2013-10-12 17:30:00 UTC,2013-10-12 19:00:00 UTC
25,Maghrib und Ishaa-Gebete,Hauptzelt,2013-10-12 19:15:00 UTC,2013-10-12 19:40:00 UTC
26,Tahajjud-Gebet,Haupthalle,2013-10-13 05:40:00 UTC,2013-10-13 06:15:00 UTC
27,Fajr-Gebet und Dars-ul-Quran,Haupthalle,2013-10-13 06:30:00 UTC,2013-10-13 07:00:00 UTC
28,Frühstück,Essenszelt,2013-10-13 07:30:00 UTC,2013-10-13 09:00:00 UTC
29,Finale Sportwettbewerbe Atfal,Sportfelder,2013-10-13 11:00:00 UTC,2013-10-13 12:00:00 UTC
30,Mittagessen und Vorbereitung für die Gebete,Essenszelt,2013-10-13 12:00:00 UTC,2013-10-13 13:00:00 UTC
31,Preisverleihung 2. und 3. Platz im Atfal Ijtema-Gah,Hauptzelt,2013-10-13 13:00:00 UTC,2013-10-13 14:30:00 UTC
32,Sohar- und Assr-Gebete,Hauptzelt,2013-10-13 14:45:00 UTC,2013-10-13 15:00:00 UTC
33,Abschlusszeremonie,Hauptzelt,2013-10-13 15:00:00 UTC,2013-10-13 17:30:00 UTC
